id,recipe_name,recipe_url,servings,total_cost_est,price_per_person,protein_grams_est,protein_tag,sodium_tag,sat_fat_tag,diet_tags,ingredients,ingredients_json,directions
1,Live Well Recipe: Alabama Catfish Gumbo,https://www.aces.edu/blog/topics/home-family/live-well-recipe-alabama-catfish-gumbo/,6,3.35,0.56,8,low,med,low,"dairy-free, gluten-free","1 tablespoon vegetable oil | 1/2 cup onion, diced | 1/2 cup green bell pepper, diced | 1/2 cup celery, diced | 2 cans low sodium chicken broth, 14.5 ounces each | 3 teaspoons seafood seasoning | 2 cans diced low sodium tomatoes, 14.5 ounces each | 1 can tomato paste, 3 ounces | 1 12-ounce bag frozen okra | 4 catfish fillets | 2 cups cooked brown rice","[{""ingredient"": ""vegetable oil"", ""quantity"": ""1"", ""unit"": ""tablespoon""}, {""ingredient"": ""onion"", ""quantity"": ""1/2"", ""unit"": ""cup""}, {""ingredient"": ""bell pepper"", ""quantity"": ""1/2"", ""unit"": ""cup""}, {""ingredient"": ""celery"", ""quantity"": ""1/2"", ""unit"": ""cup""}, {""ingredient"": ""chicken broth"", ""quantity"": ""2"", ""unit"": ""cans""}, {""ingredient"": ""seasoning"", ""quantity"": ""3"", ""unit"": ""teaspoons""}, {""ingredient"": ""tomato"", ""quantity"": ""2"", ""unit"": ""cans""}, {""ingredient"": ""tomato"", ""quantity"": ""1"", ""unit"": ""can""}, {""ingredient"": ""12-ounce bag frozen okra"", ""quantity"": ""1"", ""unit"": null}, {""ingredient"": ""fillets"", ""quantity"": ""4"", ""unit"": ""catfish""}, {""ingredient"": ""brown rice"", ""quantity"": ""2"", ""unit"": ""cup""}]","In large pot, heat oil and cook onion, bell pepper, and celery until tender. | Add chicken broth, seafood seasoning, diced tomatoes, tomato paste, and okra. Bring to a boil. | Add catfish and simmer 20 minutes, stirring occasionally until fish is cooked through. | Serve over rice."
2,Live Well Recipe: Aloha Chicken,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-aloha-chicken/,6,2.45,0.41,25,high,low,low,"dairy-free, gluten-free",apple | chicken | garlic | pepper | salt,"[{""ingredient"": ""apple"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""chicken"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""garlic"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}]","Preheat oven to 400 degrees. Spray baking sheet with cooking spray. | Pat chicken dry with a paper towel. Set to the side. | Mix chili powder, garlic powder, salt, and pepper in a small bowl. | Coat chicken on both sides with mixture. | Place chicken in pan. | Top chicken with barbecue sauce. | Spread peppers and pineapple around chicken. | Bake 40 minutes or until meat reaches an internal temperature of 165 degrees."
3,Live Well Recipe: Cheesy Quesadilla,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-cheesy-quesadilla/,4,2.05,0.51,8,low,low,med,vegetarian,cheese | spinach | tortilla,"[{""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""spinach"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tortilla"", ""quantity"": null, ""unit"": null}]",Spray a skillet with cooking spray and heat on medium heat. | Place tortilla in skillet. | Sprinkle cheese and spinach on half of the tortilla. | Spoon salsa on top of spinach and cheese. | Fold tortilla in half. | Cook for 2 minutes on each side. | Cut into 4 wedges. | Download the recipe here: Printable Cheesy Quesadilla | Click here to view the USDA Nondiscrimination Statement.
4,Live Well Recipe: Chicken and Broccoli Bake,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-chicken-and-broccoli-bake/,6,5.1,0.85,32,high,med,high,standard,broccoli | broth | butter | cheese | chicken | chicken broth | flour | rice,"[{""ingredient"": ""broccoli"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""broth"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""butter"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""chicken"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""chicken broth"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""flour"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""rice"", ""quantity"": null, ""unit"": null}]","Preheat oven to 350 degrees F. | In medium bowl, mix rice, chicken, and broccoli. | In large saucepan over medium heat, melt butter. | Add flour to melted butter and stir. This will be lumpy. | Slowly add chicken broth to butter and flour mixture. Stir to remove lumps and until it thickens. | Add cheese to broth. Stir. | Pour cheese broth into rice mixture. Stir. | Prepare baking dish with cooking spray. | Put ingredients into baking dish. Bake for 30 minutes. | Download the recipe here: Printable Chicken and Broccoli Bake | Click here to view the USDA Nondiscrimination Statement."
5,Live Well Recipe: Chicken Fiesta Power Bowl,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-chicken-fiesta-power-bowl/,4,4.65,1.16,43,high,low,low,gluten-free,beans | chicken | rice | spinach | tomato | yogurt,"[{""ingredient"": ""beans"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""chicken"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""rice"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""spinach"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tomato"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""yogurt"", ""quantity"": null, ""unit"": null}]","In 4 serving bowls, divide and layer rice, beans, cooked chicken, spinach, and tomatoes. | Mix yogurt and taco seasoning in a small bowl. | Top serving bowls with yogurt mixture, squeeze of lime wedge, avocado, and cilantro."
6,Live Well Recipe: Classic Cabbage Soup,https://www.aces.edu/blog/topics/home-family/live-well-recipe-classic-cabbage-soup/,6,2.75,0.46,8,low,med,low,"dairy-free, gluten-free","½ onion, chopped | 2 teaspoons olive oil | 6 cups cabbage, chopped | 1 carrot, shredded | 1 can diced tomatoes, 14 ounces | 1 bay leaf | 1 teaspoon Italian seasoning | 1 tablespoon tomato paste | 6 cups chicken broth | 1 tablespoon dried parsley | Salt and pepper to taste","[{""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""olive oil"", ""quantity"": ""2"", ""unit"": ""teaspoons""}, {""ingredient"": ""cabbage"", ""quantity"": ""6"", ""unit"": ""cup""}, {""ingredient"": """", ""quantity"": ""1"", ""unit"": ""carrot""}, {""ingredient"": ""tomato"", ""quantity"": ""1"", ""unit"": ""can""}, {""ingredient"": ""leaf"", ""quantity"": ""1"", ""unit"": ""bay""}, {""ingredient"": ""seasoning"", ""quantity"": ""1"", ""unit"": ""teaspoon""}, {""ingredient"": ""tomato"", ""quantity"": ""1"", ""unit"": ""tablespoon""}, {""ingredient"": ""chicken broth"", ""quantity"": ""6"", ""unit"": ""cup""}, {""ingredient"": ""dried parsley"", ""quantity"": ""1"", ""unit"": ""tablespoon""}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}]","In a large pot, cook onion in olive oil over medium heat until tender, 3 to 4 minutes. | Add cabbage to pot and cook until it starts to soften, about 8 minutes. | Add all other ingredients to pot and bring to boil. Reduce heat to low and simmer uncovered for 15 minutes or until cabbage is tender. | Salt and pepper to taste. Remove bay leaf before serving."
7,Live Well Recipe: Creole Chicken,https://www.aces.edu/blog/topics/home-family/live-well-recipe-creole-chicken/,4,3.05,0.76,28,high,low,low,"dairy-free, gluten-free","1 tablespoon olive oil | 2 small chicken breasts, halved and skin removed | ½ cup celery, chopped | 1/3 cup onion, sliced | 1 medium green pepper, sliced | 1 can diced tomatoes, 15 ounces | 1 tablespoon Creole seasoning","[{""ingredient"": ""olive oil"", ""quantity"": ""1"", ""unit"": ""tablespoon""}, {""ingredient"": ""chicken breast"", ""quantity"": ""2"", ""unit"": ""small""}, {""ingredient"": ""½ cup celery"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": ""1/3"", ""unit"": ""cup""}, {""ingredient"": ""pepper"", ""quantity"": ""1"", ""unit"": ""medium""}, {""ingredient"": ""tomato"", ""quantity"": ""1"", ""unit"": ""can""}, {""ingredient"": ""seasoning"", ""quantity"": ""1"", ""unit"": ""tablespoon""}]","Heat oil in large skillet over medium heat. | Add chicken and cook for a few minutes on each side, just until brown. Remove chicken from skillet and set aside. | Add remaining ingredients to skillet and bring mixture to boil. | Cover and cook over medium heat for 10 minutes. | Add chicken, cover, and reduce heat to low. | Simmer 25 to 30 minutes or until tender."
8,Live Well Recipe: Easy Skillet Dinner,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-easy-skillet-dinner/,4,2.0,0.5,8,low,low,low,"vegetarian, dairy-free, gluten-free",garlic | onion | tomato,"[{""ingredient"": ""garlic"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tomato"", ""quantity"": null, ""unit"": null}]","Spray cooking spray in a skillet. | Cook meat, onion and garlic powder over medium heat. Cook until meat is cooked through and onion is soft, about 10 minutes. | Add zucchini, tomatoes, tomato paste and seasoning. Simmer over medium heat for 10 minutes. | Download the recipe here: Printable Easy Skillet Dinner | Click here to view the USDA Nondiscrimination Statement."
9,Live Well Recipe: Eggplant Pizzas,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-eggplant-pizzas/,6,2.0,0.33,13,low,med,med,"vegetarian, gluten-free",cheese | egg | garlic | oil | salt,"[{""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""egg"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""garlic"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}]","Preheat oven to 400 degrees. Line baking sheet with aluminum foil. Spray with cooking spray. | Lay eggplant slices flat on baking sheet. Season eggplant with salt. | In small bowl, combine garlic, oil, and Italian seasoning. Brush mixture onto top of eggplant slices. | Bake 15 minutes. | Remove eggplant from oven and top each slice with 1 tablespoon marinara or pizza sauce, and sprinkle each slice with cheese. | Bake another 10 minutes or until cheese is melted."
10,Live Well Recipe: Enchilada Rice,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-enchilada-rice/,4,2.0,0.5,8,low,low,med,"vegetarian, gluten-free",cheese | corn | onion | rice,"[{""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""corn"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""rice"", ""quantity"": null, ""unit"": null}]","Cook meat and onion. | Drain fat from cooked meat and onions. | Add corn, taco seasoning and rice. | Simmer for 5–10 minutes. | Add cheese to top; let set for 5 minutes for cheese to melt. | Download the recipe here: Printable Enchilada Rice | Click here to view the USDA Nondiscrimination Statement."
